timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747193843074,fithealth,0.0,185.0,15984.64
1747193845107,fithealth,78.61,185.4,15984.64
1747193847142,fithealth,105.66,185.4,15984.64
1747193849184,fithealth,102.77,185.5,15984.64
1747193851223,fithealth,60.44,185.6,15984.64
1747193853286,fithealth,55.05,185.2,15984.64
1747193855342,fithealth,54.61,185.3,15984.64
1747193857399,fithealth,50.84,185.5,15984.64
1747193859449,fithealth,53.35,185.2,15984.64
1747193861509,fithealth,47.98,185.3,15984.64
1747193863581,fithealth,57.33,185.2,15984.64
1747193865639,fithealth,53.15,185.5,15984.64
1747193867700,fithealth,53.21,185.4,15984.64
1747193869772,fithealth,48.26,185.4,15984.64
1747193871847,fithealth,53.5,185.2,15984.64
1747193873917,fithealth,44.26,185.2,15984.64
1747193875987,fithealth,57.16,185.5,15984.64
1747193878049,fithealth,48.46,185.4,15984.64
1747193880122,fithealth,54.57,185.2,15984.64
1747193882218,fithealth,55.8,185.2,15984.64
1747193884280,fithealth,53.14,185.3,15984.64
1747193886363,fithealth,57.46,185.3,15984.64
1747193888414,fithealth,55.4,185.5,15984.64
1747193890483,fithealth,52.13,185.5,15984.64
1747193892560,fithealth,53.42,185.5,15984.64
1747193894629,fithealth,54.17,185.2,15984.64
1747193896700,fithealth,52.67,185.3,15984.64
1747193898763,fithealth,55.56,185.2,15984.64
1747193900832,fithealth,51.61,185.3,15984.64
1747193902880,fithealth,54.62,185.2,15984.64
1747193904951,fithealth,53.1,185.2,15984.64
1747193907016,fithealth,82.3,185.3,15984.64
1747193909058,fithealth,38.83,185.2,15984.64
1747193911115,fithealth,69.25,185.1,15984.64
1747193913159,fithealth,101.13,185.1,15984.64
1747193915201,fithealth,85.91,185.5,15984.64
1747193917247,fithealth,52.99,185.1,15984.64
1747193919286,fithealth,55.04,185.4,15984.64
1747193921339,fithealth,43.05,185.2,15984.64
1747193923374,fithealth,52.17,185.2,15984.64
1747193925430,fithealth,43.55,185.3,15984.64
1747193927467,fithealth,55.58,185.3,15984.64
1747193929528,fithealth,37.72,185.3,15984.64
1747193931590,fithealth,52.29,185.4,15984.64
1747193933651,fithealth,34.19,185.2,15984.64
1747193935726,fithealth,56.72,185.5,15984.64
1747193937803,fithealth,52.2,185.3,15984.64
1747193939865,fithealth,53.44,185.4,15984.64
1747193941949,fithealth,51.4,185.2,15984.64
1747193944021,fithealth,44.81,185.1,15984.64
1747193946080,fithealth,58.31,185.5,15984.64
1747193948150,fithealth,53.59,185.3,15984.64
1747193950224,fithealth,39.39,185.3,15984.64
1747193952264,fithealth,55.34,185.2,15984.64
1747193954308,fithealth,56.13,185.3,15984.64
1747193956360,fithealth,55.54,185.2,15984.64
1747193958426,fithealth,53.77,185.3,15984.64
1747193960488,fithealth,50.58,185.3,15984.64
1747193962560,fithealth,56.48,185.3,15984.64
1747193964635,fithealth,28.47,185.1,15984.64
1747193966701,fithealth,0.0,185.1,15984.64
1747193968731,fithealth,0.0,185.1,15984.64
1747193970762,fithealth,0.0,185.1,15984.64
1747193972794,fithealth,0.0,185.1,15984.64
1747193974826,fithealth,0.0,185.1,15984.64
1747193976856,fithealth,0.0,185.1,15984.64
1747193978888,fithealth,0.0,185.1,15984.64
1747193980919,fithealth,0.0,185.1,15984.64
1747193982950,fithealth,0.0,185.1,15984.64
1747193984982,fithealth,0.0,185.1,15984.64
1747193987012,fithealth,0.0,185.1,15984.64
1747193989042,fithealth,0.01,185.1,15984.64
1747193991074,fithealth,0.0,185.1,15984.64
1747193993105,fithealth,0.0,185.1,15984.64
1747193995136,fithealth,0.0,185.1,15984.64
1747193997169,fithealth,0.0,185.0,15984.64
1747193999200,fithealth,0.0,185.0,15984.64
1747194001230,fithealth,0.0,185.0,15984.64
1747194003261,fithealth,0.0,185.0,15984.64
1747194005292,fithealth,0.0,185.0,15984.64
1747194007324,fithealth,0.0,185.0,15984.64
1747194009356,fithealth,0.0,185.0,15984.64
1747194011388,fithealth,0.0,185.0,15984.64
1747194013421,fithealth,0.0,185.0,15984.64
1747194015453,fithealth,0.0,185.0,15984.64
1747194017485,fithealth,0.0,185.0,15984.64
1747194019515,fithealth,0.01,185.0,15984.64
1747194021546,fithealth,0.0,185.0,15984.64
1747194023579,fithealth,0.0,185.0,15984.64
1747194025609,fithealth,0.0,185.0,15984.64
1747194027640,fithealth,0.0,185.0,15984.64
1747194029671,fithealth,0.0,185.0,15984.64
1747194031702,fithealth,0.0,185.0,15984.64
1747194033735,fithealth,0.0,185.0,15984.64
1747194035766,fithealth,0.0,185.0,15984.64
1747194037798,fithealth,0.0,185.0,15984.64
1747194039829,fithealth,0.0,185.0,15984.64
1747194041859,fithealth,0.0,185.0,15984.64
