timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747191448512,fithealth,0.01,185.8,15022.08
1747191451053,fithealth,82.21,186.0,15022.08
1747191453604,fithealth,109.88,186.3,15022.08
1747191456146,fithealth,96.12,186.0,15022.08
1747191458695,fithealth,84.83,186.0,15022.08
1747191461237,fithealth,56.93,186.1,15022.08
1747191463788,fithealth,51.95,186.3,15022.08
1747191466366,fithealth,49.56,186.2,15022.08
1747191468938,fithealth,56.74,186.6,15022.08
1747191471518,fithealth,49.67,186.4,15022.08
1747191474086,fithealth,54.23,186.6,15022.08
1747191476647,fithealth,57.72,186.2,15022.08
1747191479214,fithealth,52.58,186.4,15022.08
1747191481792,fithealth,55.65,186.4,15022.08
1747191484363,fithealth,55.28,186.3,15022.08
1747191486929,fithealth,56.57,186.3,15022.08
1747191489501,fithealth,49.68,186.4,15022.08
1747191492076,fithealth,57.3,186.4,15022.08
1747191494642,fithealth,48.65,186.4,15022.08
1747191497209,fithealth,57.91,186.4,15022.08
1747191499777,fithealth,55.65,186.5,15022.08
1747191502347,fithealth,55.74,186.5,15022.08
1747191504927,fithealth,55.11,186.4,15022.08
1747191507509,fithealth,56.19,186.3,15022.08
1747191510082,fithealth,54.8,186.7,15022.08
1747191512648,fithealth,16.58,186.5,15022.08
1747191515208,fithealth,57.41,186.5,15022.08
1747191517759,fithealth,26.99,186.2,15022.08
1747191520405,fithealth,36.76,186.3,15022.08
1747191522941,fithealth,69.27,186.4,15022.08
1747191525485,fithealth,0.07,186.3,15022.08
1747191528023,fithealth,65.77,186.2,15022.08
1747191530564,fithealth,57.78,186.2,15022.08
1747191533136,fithealth,56.07,186.2,15022.08
1747191535715,fithealth,48.59,186.1,15022.08
1747191538284,fithealth,55.77,186.3,15022.08
1747191540858,fithealth,39.42,186.4,15022.08
1747191543438,fithealth,55.36,186.4,15022.08
1747191546011,fithealth,42.48,186.4,15022.08
1747191548592,fithealth,55.24,186.3,15022.08
1747191551175,fithealth,40.43,186.4,15022.08
1747191553743,fithealth,54.23,186.4,15022.08
1747191556320,fithealth,33.66,186.6,15022.08
1747191558888,fithealth,55.12,186.5,15022.08
1747191561455,fithealth,56.77,186.6,15022.08
1747191564013,fithealth,54.19,186.4,15022.08
1747191566582,fithealth,54.43,186.5,15022.08
1747191569152,fithealth,52.37,186.6,15022.08
1747191571734,fithealth,0.0,186.2,15022.08
1747191574269,fithealth,0.0,186.2,15022.08
1747191578378,fithealth,0.01,186.2,15022.08
