timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747194259017,fithealth,0.0,165.2,15022.08
1747194261552,fithealth,0.0,165.2,15022.08
1747194264087,fithealth,0.0,165.2,15022.08
1747194266621,fithealth,0.0,165.2,15022.08
1747194269155,fithealth,0.0,165.2,15022.08
1747194271687,fithealth,0.0,165.2,15022.08
1747194274221,fithealth,0.0,165.2,15022.08
1747194276754,fithealth,88.06,165.4,15022.08
1747194279292,fithealth,48.79,165.7,15022.08
1747194281831,fithealth,110.74,182.8,15022.08
1747194284378,fithealth,74.13,182.9,15022.08
1747194286928,fithealth,57.95,183.2,15022.08
1747194289502,fithealth,56.66,182.7,15022.08
1747194292064,fithealth,58.21,183.1,15022.08
1747194294653,fithealth,51.39,182.8,15022.08
1747194297205,fithealth,64.07,182.8,15022.08
1747194299779,fithealth,55.85,183.2,15022.08
1747194302352,fithealth,53.95,182.9,15022.08
1747194304923,fithealth,54.73,183.0,15022.08
1747194307487,fithealth,58.76,182.9,15022.08
1747194310054,fithealth,58.5,182.8,15022.08
1747194312627,fithealth,58.28,182.8,15022.08
1747194315199,fithealth,43.24,182.7,15022.08
1747194317774,fithealth,56.95,183.1,15022.08
1747194320335,fithealth,55.94,182.8,15022.08
1747194322924,fithealth,46.4,182.9,15022.08
1747194325496,fithealth,54.3,182.8,15022.08
1747194328066,fithealth,44.01,182.9,15022.08
1747194330644,fithealth,56.81,183.1,15022.08
1747194333236,fithealth,55.92,182.9,15022.08
1747194335790,fithealth,60.23,182.9,15022.08
1747194338382,fithealth,34.0,182.8,15022.08
1747194340920,fithealth,107.53,183.1,15022.08
1747194343470,fithealth,110.12,183.0,15022.08
1747194346017,fithealth,48.6,183.2,15022.08
1747194348557,fithealth,105.82,183.0,15022.08
1747194351103,fithealth,56.64,182.8,15022.08
1747194353677,fithealth,44.52,182.7,15022.08
1747194356249,fithealth,56.89,183.1,15022.08
1747194358818,fithealth,43.73,182.8,15022.08
1747194361386,fithealth,58.7,182.9,15022.08
1747194363952,fithealth,41.6,182.9,15022.08
1747194366548,fithealth,54.56,183.2,15022.08
1747194369116,fithealth,46.33,183.2,15022.08
1747194371660,fithealth,56.03,182.9,15022.08
1747194374236,fithealth,51.07,182.9,15022.08
1747194376778,fithealth,52.87,183.2,15022.08
1747194379342,fithealth,53.02,182.8,15022.08
1747194381893,fithealth,58.47,182.9,15022.08
1747194384462,fithealth,38.34,182.7,15022.08
1747194387029,fithealth,54.45,182.9,15022.08
1747194389611,fithealth,56.74,183.0,15022.08
1747194392184,fithealth,55.54,183.3,15022.08
1747194394759,fithealth,55.38,183.2,15022.08
1747194397327,fithealth,0.0,182.8,15022.08
1747194399863,fithealth,0.0,182.8,15022.08
1747194402428,fithealth,0.0,182.8,15022.08
1747194404960,fithealth,0.0,182.8,15022.08
1747194407492,fithealth,0.0,182.8,15022.08
