timestamp,container,cpu_percent,mem_used_mib,mem_total_mib
1747193204099,fithealth,0.0,184.5,15984.64
1747193205731,fithealth,103.04,185.0,15984.64
1747193207737,fithealth,103.18,184.8,15984.64
1747193209740,fithealth,103.48,185.3,15984.64
1747193211745,fithealth,57.0,185.7,15984.64
1747193213757,fithealth,54.56,185.2,15984.64
1747193215761,fithealth,53.11,185.1,15984.64
1747193217767,fithealth,54.02,185.1,15984.64
1747193219772,fithealth,58.58,185.1,15984.64
1747193221775,fithealth,50.69,185.1,15984.64
1747193223780,fithealth,52.76,185.2,15984.64
1747193225786,fithealth,50.21,185.3,15984.64
1747193227791,fithealth,51.37,185.5,15984.64
1747193229805,fithealth,53.0,185.2,15984.64
1747193231814,fithealth,55.38,185.4,15984.64
1747193233818,fithealth,48.33,185.1,15984.64
1747193235822,fithealth,53.75,185.4,15984.64
1747193237827,fithealth,51.85,185.3,15984.64
1747193239830,fithealth,55.88,185.2,15984.64
1747193241836,fithealth,50.86,185.3,15984.64
1747193243840,fithealth,54.72,185.1,15984.64
1747193245851,fithealth,51.13,185.4,15984.64
1747193247858,fithealth,53.07,185.2,15984.64
1747193249861,fithealth,47.62,185.1,15984.64
1747193251877,fithealth,53.61,185.0,15984.64
1747193253879,fithealth,46.98,185.2,15984.64
1747193255889,fithealth,53.42,185.2,15984.64
1747193257898,fithealth,46.24,185.2,15984.64
1747193259904,fithealth,54.86,185.5,15984.64
1747193261910,fithealth,42.25,185.4,15984.64
1747193263918,fithealth,53.81,185.2,15984.64
1747193265920,fithealth,40.18,185.1,15984.64
1747193267925,fithealth,86.03,185.1,15984.64
1747193269933,fithealth,53.27,185.4,15984.64
1747193271935,fithealth,70.57,185.1,15984.64
1747193273941,fithealth,69.64,185.1,15984.64
1747193275945,fithealth,66.37,185.1,15984.64
1747193277960,fithealth,54.85,185.3,15984.64
1747193279961,fithealth,53.65,185.1,15984.64
1747193281968,fithealth,57.81,185.4,15984.64
1747193283977,fithealth,56.99,185.2,15984.64
1747193285981,fithealth,55.41,185.1,15984.64
1747193287995,fithealth,53.36,185.4,15984.64
1747193289995,fithealth,33.95,185.2,15984.64
1747193292002,fithealth,56.61,185.5,15984.64
1747193294010,fithealth,55.24,185.3,15984.64
1747193296011,fithealth,54.56,185.2,15984.64
1747193298022,fithealth,51.94,185.2,15984.64
1747193300035,fithealth,39.89,185.4,15984.64
1747193302044,fithealth,52.19,185.2,15984.64
1747193304047,fithealth,53.29,185.2,15984.64
1747193306056,fithealth,50.66,185.2,15984.64
1747193308058,fithealth,55.4,185.2,15984.64
1747193310070,fithealth,33.44,185.1,15984.64
1747193312074,fithealth,52.14,185.1,15984.64
1747193314079,fithealth,48.15,185.1,15984.64
1747193316086,fithealth,35.36,185.2,15984.64
1747193318099,fithealth,51.09,185.2,15984.64
1747193320110,fithealth,52.17,185.2,15984.64
1747193322114,fithealth,28.24,185.2,15984.64
1747193324126,fithealth,55.51,185.4,15984.64
